Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
1055113963,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113964,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
105511401,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114010,Area Metropolitana da Grande Sao Paulo - Fixo,0,4,0.68,30,6
105511402,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114020,Area Metropolitana da Grande Sao Paulo - Fixo,0,4,0.68,30,6
105511403,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114041,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114042,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114045,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114046,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114065,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114068,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114073,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114074,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114086,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114087,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114088,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114089,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114098,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114136,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114140,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114204,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114216,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114217,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114246,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114288,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114289,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114290,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114291,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
10551143409,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114402,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114403,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114404,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114405,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114406,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
105511441,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114419,Area Metropolitana da Grande Sao Paulo - Fixo,0,4,0.68,30,6
1055114430,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114431,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114456,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114480,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114481,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114487,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
105511449,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114498,Area Metropolitana da Grande Sao Paulo - Fixo,0,4,0.68,30,6
105511452,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
105511453,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114570,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114579,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
105511458,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
105511459,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114601,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114602,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114603,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114606,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114607,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114630,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114631,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114632,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114633,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114659,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114660,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055114670,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
